1, 24.2
2, 7.3
3, 7.9
4, 7.1
5, 5.7
6, 6.2
7, 5.4
8, 5.4
9, 7.1
10, 4.2
11, 4.2
12, 4.2
13, 4.2
14, 6.9
15, 4.2
16, 4.2
17, 4.2
18, 4.6
19, 4.5
20, 6.9
21, 4.8
22, 4.6
23, 4.2
24, 4.2
25, 4.2
26, 6.8
27, 4.2
28, 4.1
29, 4.1
30, 4.1
31, 6.1
32, 4.2
33, 4.1
34, 4.1
35, 4.1
36, 4.1
37, 7.1
38, 4.2
39, 4.1
40, 4.2
41, 4.1
42, 4.1
43, 6.8
44, 4.0
45, 4.0
46, 4.4
47, 4.9
48, 8.9
49, 4.2
50, 4.2
51, 4.2
52, 4.7
53, 4.2
54, 6.8
55, 4.2
56, 4.2
57, 4.2
58, 4.2
59, 7.0
60, 4.3
61, 4.1
62, 4.2
63, 5.1
64, 4.2
65, 7.3
66, 4.2
67, 4.2
68, 4.2
69, 4.2
70, 4.2
71, 7.6
72, 4.3
73, 4.2
74, 4.2
75, 4.2
76, 6.3
77, 4.1
78, 4.2
79, 4.2
80, 4.2
81, 4.2
82, 7.4
83, 4.5
84, 4.1
85, 4.2
86, 4.2
87, 4.3
88, 4.2
89, 4.2
90, 4.2
91, 4.1
92, 5.2
93, 7.9
94, 4.1
95, 4.0
96, 4.3
97, 5.6
98, 5.6
99, 8.3
100, 6.0
