1, 16.4
2, 15.7
3, 15.7
4, 15.8
5, 15.6
6, 15.9
7, 15.3
8, 15.6
9, 15.6
10, 15.7
11, 15.7
12, 15.6
13, 15.9
14, 16.2
15, 15.8
16, 15.8
17, 15.6
18, 15.0
19, 15.8
20, 16.0
21, 15.5
22, 15.5
23, 15.6
24, 15.5
25, 15.3
26, 15.0
27, 15.3
28, 15.5
29, 15.4
30, 15.4
31, 15.5
32, 15.3
33, 15.1
34, 15.4
35, 15.6
36, 15.4
37, 15.0
38, 15.3
39, 15.5
40, 15.2
41, 15.4
42, 15.7
43, 15.4
44, 15.5
45, 15.4
46, 15.7
47, 15.5
48, 15.3
49, 15.5
50, 15.0
51, 15.2
52, 15.5
53, 15.3
54, 15.1
55, 15.6
56, 15.2
57, 15.4
58, 15.4
59, 14.8
60, 15.5
61, 15.9
62, 15.4
63, 15.3
64, 15.3
65, 15.5
66, 15.4
67, 15.0
68, 15.3
69, 15.3
70, 15.1
71, 15.3
72, 15.2
73, 15.0
74, 15.5
75, 15.5
76, 15.3
77, 15.3
78, 16.4
79, 15.4
80, 15.3
81, 16.1
82, 16.3
83, 16.5
84, 15.5
85, 15.2
86, 15.9
87, 15.6
88, 15.6
89, 15.7
90, 16.3
91, 15.3
92, 15.4
93, 15.3
94, 15.0
95, 15.3
96, 15.6
97, 15.8
98, 15.2
99, 15.2
100, 15.4
